bioguide_id,first_name,last_name,last_name_upper,full_name,state,party,type,term_start,term_end,state_rank
A000055,Robert,Aderholt,ADERHOLT,Robert B. Aderholt,AL,Republican,rep,2015-01-06,2017-01-03,
A000055,Robert,Aderholt,ADERHOLT,Robert B. Aderholt,AL,Republican,rep,2017-01-03,2019-01-03,
A000055,Robert,Aderholt,ADERHOLT,Robert B. Aderholt,AL,Republican,rep,2019-01-03,2021-01-03,
A000055,Robert,Aderholt,ADERHOLT,Robert B. Aderholt,AL,Republican,rep,2021-01-03,2023-01-03,
A000055,Robert,Aderholt,ADERHOLT,Robert B. Aderholt,AL,Republican,rep,2023-01-03,2025-01-03,
A000055,Robert,Aderholt,ADERHOLT,Robert B. Aderholt,AL,Republican,rep,2025-01-03,2027-01-03,
B001230,Tammy,Baldwin,BALDWIN,Tammy Baldwin,WI,Democrat,sen,2013-01-03,2019-01-03,junior
B001230,Tammy,Baldwin,BALDWIN,Tammy Baldwin,WI,Democrat,sen,2019-01-03,2025-01-03,junior
B001230,Tammy,Baldwin,BALDWIN,Tammy Baldwin,WI,Democrat,sen,2025-01-03,2031-01-03,junior
B001267,Michael,Bennet,BENNET,Michael F. Bennet,CO,Democrat,sen,2011-01-05,2017-01-03,senior
B001267,Michael,Bennet,BENNET,Michael F. Bennet,CO,Democrat,sen,2017-01-03,2023-01-03,senior
B001267,Michael,Bennet,BENNET,Michael F. Bennet,CO,Democrat,sen,2023-01-03,2029-01-03,senior
B001257,Gus,Bilirakis,BILIRAKIS,Gus M. Bilirakis,FL,Republican,rep,2013-01-03,2015-01-03,
B001257,Gus,Bilirakis,BILIRAKIS,Gus M. Bilirakis,FL,Republican,rep,2015-01-06,2017-01-03,
B001257,Gus,Bilirakis,BILIRAKIS,Gus M. Bilirakis,FL,Republican,rep,2017-01-03,2019-01-03,
B001257,Gus,Bilirakis,BILIRAKIS,Gus M. Bilirakis,FL,Republican,rep,2019-01-03,2021-01-03,
B001257,Gus,Bilirakis,BILIRAKIS,Gus M. Bilirakis,FL,Republican,rep,2021-01-03,2023-01-03,
B001257,Gus,Bilirakis,BILIRAKIS,Gus M. Bilirakis,FL,Republican,rep,2023-01-03,2025-01-03,
B001257,Gus,Bilirakis,BILIRAKIS,Gus M. Bilirakis,FL,Republican,rep,2025-01-03,2027-01-03,
B000490,Sanford,Bishop,BISHOP,"Sanford D. Bishop, Jr.",GA,Democrat,rep,2013-01-03,2015-01-03,
B000490,Sanford,Bishop,BISHOP,"Sanford D. Bishop, Jr.",GA,Democrat,rep,2015-01-06,2017-01-03,
B000490,Sanford,Bishop,BISHOP,"Sanford D. Bishop, Jr.",GA,Democrat,rep,2017-01-03,2019-01-03,
B000490,Sanford,Bishop,BISHOP,"Sanford D. Bishop, Jr.",GA,Democrat,rep,2019-01-03,2021-01-03,
B000490,Sanford,Bishop,BISHOP,"Sanford D. Bishop, Jr.",GA,Democrat,rep,2021-01-03,2023-01-03,
B000490,Sanford,Bishop,BISHOP,"Sanford D. Bishop, Jr.",GA,Democrat,rep,2023-01-03,2025-01-03,
B000490,Sanford,Bishop,BISHOP,"Sanford D. Bishop, Jr.",GA,Democrat,rep,2025-01-03,2027-01-03,
B001243,Marsha,Blackburn,BLACKBURN,Marsha Blackburn,TN,Republican,rep,2013-01-03,2015-01-03,
B001243,Marsha,Blackburn,BLACKBURN,Marsha Blackburn,TN,Republican,rep,2015-01-06,2017-01-03,
B001243,Marsha,Blackburn,BLACKBURN,Marsha Blackburn,TN,Republican,rep,2017-01-03,2019-01-03,
B001243,Marsha,Blackburn,BLACKBURN,Marsha Blackburn,TN,Republican,sen,2019-01-03,2025-01-03,senior
B001243,Marsha,Blackburn,BLACKBURN,Marsha Blackburn,TN,Republican,sen,2025-01-03,2031-01-03,senior
B001277,Richard,Blumenthal,BLUMENTHAL,Richard Blumenthal,CT,Democrat,sen,2011-01-05,2017-01-03,senior
B001277,Richard,Blumenthal,BLUMENTHAL,Richard Blumenthal,CT,Democrat,sen,2017-01-03,2023-01-03,senior
B001277,Richard,Blumenthal,BLUMENTHAL,Richard Blumenthal,CT,Democrat,sen,2023-01-03,2029-01-03,senior
B001236,John,Boozman,BOOZMAN,John Boozman,AR,Republican,sen,2011-01-05,2017-01-03,senior
