file_id,date_standard,chamber,speaker_full,speaker_last,party,title,is_speech,speech_category,speech_summary,immigration_terms,text_excerpt,text_length
CREC-2019-01-28-CREC-2019-01-28-pt1-PgH1236,2019-01-28,House,Mr. SMUCKER,SMUCKER,,HONORING THE LIFE OF DICK SHELLENBERGER,True,children,"From the Congressional Record Online through the Government Publishing Office HONORING THE LIFE OF DICK SHELLENBERGER (Mr. SMUCKER asked and was given permission to address the House for 1 minute and to revise and extend his remarks.) Mr. SMUCKER. Mr. Speaker, today I rise to honor Dick Shellenberge...",ice,"
[Congressional Record Volume 165, Number 17 (Monday, January 28, 2019)]
[House]
[Page H1236]
From the Congressional Record Online through the Government Publishing Office [www.gpo.gov]





                HONORING THE LIFE OF DICK SHELLENBERGER

  (Mr. SMUCKER asked and was given permission to address the House for 
1 minute and to revise and extend his remarks.)
  Mr. SMUCKER. Mr. Speaker, today I rise to honor Dick Shellenberger, a 
wonderful man who dedicated his life to serving Lancaster C...",1718
CREC-2019-01-28-CREC-2019-01-28-pt1-PgH1239,2019-01-28,House,Mr. GROTHMAN,GROTHMAN,,NECESSARY BORDER WALL,True,border_security,"From the Congressional Record Online through the Government Publishing Office NECESSARY BORDER WALL The SPEAKER pro tempore. Under the Speaker's announced policy of January 3, 2019, the Chair recognizes the gentleman from Wisconsin (Mr. Grothman) for 30 minutes. Mr. GROTHMAN. Mr. Speaker, we have an...","immigration, immigrant, migrant, border, asylum, wall, daca, border security, mexico, ice","
[Congressional Record Volume 165, Number 17 (Monday, January 28, 2019)]
[House]
[Pages H1239-H1241]
From the Congressional Record Online through the Government Publishing Office [www.gpo.gov]




                         NECESSARY BORDER WALL

  The SPEAKER pro tempore. Under the Speaker's announced policy of 
January 3, 2019, the Chair recognizes the gentleman from Wisconsin (Mr. 
Grothman) for 30 minutes.
  Mr. GROTHMAN. Mr. Speaker, we have another weekend gone by and 
another speech of our ...",20832
CREC-2019-01-28-CREC-2019-01-28-pt1-PgS688-3,2019-01-28,Senate,Mr. SCHUMER,SCHUMER,D,WOMEN'S ENTREPRENEURSHIP AND ECONOMIC EMPOWERMENT ACT,True,border_security,"From the Congressional Record Online through the Government Publishing Office STRENGTHENING AMERICA'S SECURITY IN THE MIDDLE EAST ACT OF 2019--MOTION TO PROCEED--Resumed The PRESIDING OFFICER. Under the previous order, the Senate will resume consideration of the motion to proceed to S. 1, which the ...","immigration, migrant, border, wall, visa, border security, mexico, cbp","
[Congressional Record Volume 165, Number 17 (Monday, January 28, 2019)]
[Senate]
[Pages S688-S696]
From the Congressional Record Online through the Government Publishing Office [www.gpo.gov]




STRENGTHENING AMERICA'S SECURITY IN THE MIDDLE EAST ACT OF 2019--MOTION 
                          TO PROCEED--Resumed

  The PRESIDING OFFICER. Under the previous order, the Senate will 
resume consideration of the motion to proceed to S. 1, which the clerk 
will report.
  The legislative clerk read as...",69809
CREC-2019-01-28-CREC-2019-01-28-pt1-PgS697-5,2019-01-28,Senate,"REPORT RELATIVE TO THE ISSUANCE OF AN EXECUTIVE ORDER WITH RESPECT TO 
  VENEZUELA THAT TAKES ADDITIONAL STEPS WITH RESPECT TO THE NATIONAL 
   EMERGENCY DECLARED IN EXECUTIVE ORDER",ORDER,,PRESIDENTIAL MESSAGE,True,other,"From the Congressional Record Online through the Government Publishing Office PRESIDENTIAL MESSAGE ______ REPORT RELATIVE TO THE ISSUANCE OF AN EXECUTIVE ORDER WITH RESPECT TO VENEZUELA THAT TAKES ADDITIONAL STEPS WITH RESPECT TO THE NATIONAL EMERGENCY DECLARED IN EXECUTIVE ORDER 13692 ON MARCH 8, 2...",detention,"
[Congressional Record Volume 165, Number 17 (Monday, January 28, 2019)]
[Senate]
[Pages S697-S698]
From the Congressional Record Online through the Government Publishing Office [www.gpo.gov]




                          PRESIDENTIAL MESSAGE

                                 ______
                                 

 REPORT RELATIVE TO THE ISSUANCE OF AN EXECUTIVE ORDER WITH RESPECT TO 
  VENEZUELA THAT TAKES ADDITIONAL STEPS WITH RESPECT TO THE NATIONAL 
   EMERGENCY DECLARED IN EXECUTIVE ORDE...",2908
CREC-2019-01-29-CREC-2019-01-29-pt1-PgH1271-5,2019-01-29,House,Mr. YOHO,YOHO,,HONORING THE LIFE OF DONALD LOUIS CRUTCH,True,children,"From the Congressional Record Online through the Government Publishing Office HONORING THE LIFE OF DONALD LOUIS CRUTCH (Mr. YOHO asked and was given permission to address the House for 1 minute and to revise and extend his remarks.) Mr. YOHO. Madam Speaker, today I rise to honor the memory of a grea...",ice,"
[Congressional Record Volume 165, Number 18 (Tuesday, January 29, 2019)]
[House]
[Page H1271]
From the Congressional Record Online through the Government Publishing Office [www.gpo.gov]




                HONORING THE LIFE OF DONALD LOUIS CRUTCH

  (Mr. YOHO asked and was given permission to address the House for 1 
minute and to revise and extend his remarks.)
  Mr. YOHO. Madam Speaker, today I rise to honor the memory of a great 
man who had a profound impact on our local community. Mr. Dona...",1371
CREC-2019-01-29-CREC-2019-01-29-pt1-PgH1272-4,2019-01-29,House,APPOINTMENT OF MEMBER TO MEXICO,MEXICO,,APPOINTMENT OF MEMBER TO MEXICO-UNITED STATES INTERPARLIAMENTARY GROUP,True,other,"From the Congressional Record Online through the Government Publishing Office APPOINTMENT OF MEMBER TO MEXICO-UNITED STATES INTERPARLIAMENTARY GROUP The SPEAKER pro tempore. The Chair announces the Speaker's appointment, pursuant to 22 U.S.C. 276h and the order of the House of January 3, 2019, of th...",mexico,"
[Congressional Record Volume 165, Number 18 (Tuesday, January 29, 2019)]
[House]
[Page H1272]
From the Congressional Record Online through the Government Publishing Office [www.gpo.gov]




 APPOINTMENT OF MEMBER TO MEXICO-UNITED STATES INTERPARLIAMENTARY GROUP

  The SPEAKER pro tempore. The Chair announces the Speaker's 
appointment, pursuant to 22 U.S.C. 276h and the order of the House of 
January 3, 2019, of the following Member on the part of the House to 
the Mexico-United States Interpar...",599
CREC-2019-01-29-CREC-2019-01-29-pt1-PgH1272-7,2019-01-29,House,Mr. WALKER,WALKER,,THE PEOPLE'S NIGHT,True,border_security,"From the Congressional Record Online through the Government Publishing Office THE PEOPLE'S NIGHT The SPEAKER pro tempore. Under the Speaker's announced policy of January 3, 2019, the gentleman from North Carolina (Mr. Walker) is recognized for 60 minutes as the designee of the minority leader. Gener...","immigration, immigrant, migrant, border, asylum, wall, border security, caravan, mexico","
[Congressional Record Volume 165, Number 18 (Tuesday, January 29, 2019)]
[House]
[Pages H1272-H1279]
From the Congressional Record Online through the Government Publishing Office [www.gpo.gov]




                           THE PEOPLE'S NIGHT

  The SPEAKER pro tempore. Under the Speaker's announced policy of 
January 3, 2019, the gentleman from North Carolina (Mr. Walker) is 
recognized for 60 minutes as the designee of the minority leader.


                             General Leave

  Mr. W...",57877
CREC-2019-01-29-CREC-2019-01-29-pt1-PgH1279,2019-01-29,House,Mr. GAETZ,GAETZ,,PUT A BORDER SECURITY PLAN ON THE FLOOR,True,border_security,"From the Congressional Record Online through the Government Publishing Office PUT A BORDER SECURITY PLAN ON THE FLOOR The SPEAKER pro tempore. Under the Speaker's announced policy of January 3, 2019, the Chair recognizes the gentleman from Florida (Mr. Gaetz) for 30 minutes. Mr. GAETZ. Madam Speaker...","border, border security","
[Congressional Record Volume 165, Number 18 (Tuesday, January 29, 2019)]
[House]
[Page H1279]
From the Congressional Record Online through the Government Publishing Office [www.gpo.gov]




                PUT A BORDER SECURITY PLAN ON THE FLOOR

  The SPEAKER pro tempore. Under the Speaker's announced policy of 
January 3, 2019, the Chair recognizes the gentleman from Florida (Mr. 
Gaetz) for 30 minutes.
  Mr. GAETZ. Madam Speaker, here we are, 2\1/2\ weeks away from a 
potential government sh...",3938
CREC-2019-01-29-CREC-2019-01-29-pt1-PgH1280-6,2019-01-29,House,"EXPENDITURE REPORTS CONCERNING OFFICIAL FOREIGN TRAVEL

  R",R,,EXPENDITURE REPORTS CONCERNING OFFICIAL FOREIGN TRAVEL,True,other,"From the Congressional Record Online through the Government Publishing Office EXPENDITURE REPORTS CONCERNING OFFICIAL FOREIGN TRAVEL Reports concerning the foreign currencies and U.S. dollars utilized for Official Foreign Travel during the third and fourth quarters of 2018, pursuant to Public Law 95...",mexico,"
[Congressional Record Volume 165, Number 18 (Tuesday, January 29, 2019)]
[House]
[Pages H1280-H1281]
From the Congressional Record Online through the Government Publishing Office [www.gpo.gov]




         EXPENDITURE REPORTS CONCERNING OFFICIAL FOREIGN TRAVEL

  Reports concerning the foreign currencies and U.S. dollars utilized 
for Official Foreign Travel during the third and fourth quarters of 
2018, pursuant to Public Law 95-384, are as follows:

                REPORT OF EXPENDITURES FOR ...",19530
CREC-2019-01-29-CREC-2019-01-29-pt1-PgS725-7,2019-01-29,Senate,Mr. SCHUMER,SCHUMER,D,Unknown,True,border_security,From the Congressional Record Online through the Government Publishing Office STRENGTHENING AMERICA'S SECURITY IN THE MIDDLE EAST ACT OF 2019--MOTION TO PROCEED--Resumed The ACTING PRESIDENT pro tempore. The clerk will report the unfinished business. The senior assistant legislative clerk read as fo...,"immigration, immigrant, migrant, border, border security","
[Congressional Record Volume 165, Number 18 (Tuesday, January 29, 2019)]
[Senate]
[Pages S725-S730]
From the Congressional Record Online through the Government Publishing Office [www.gpo.gov]




STRENGTHENING AMERICA'S SECURITY IN THE MIDDLE EAST ACT OF 2019--MOTION 
                          TO PROCEED--Resumed

  The ACTING PRESIDENT pro tempore. The clerk will report the 
unfinished business.
  The senior assistant legislative clerk read as follows:

       Motion to proceed to the consider...",45174
